Name,File,Offset,Width,Height,Format,Extracted Path,Comments
92,jpn_font_static,00002E00,16,16,i4,./jpn_font_static/,
93,jpn_font_static,00002E80,16,16,i4,./jpn_font_static/,
94,jpn_font_static,00002F00,16,16,i4,./jpn_font_static/,
95,jpn_font_static,00002F80,16,16,i4,./jpn_font_static/,
96,jpn_font_static,00003000,16,16,i4,./jpn_font_static/,
97,jpn_font_static,00003080,16,16,i4,./jpn_font_static/,
98,jpn_font_static,00003100,16,16,i4,./jpn_font_static/,
99,jpn_font_static,00003180,16,16,i4,./jpn_font_static/,
100,jpn_font_static,00003200,16,16,i4,./jpn_font_static/,
101,jpn_font_static,00003280,16,16,i4,./jpn_font_static/,
102,jpn_font_static,00003300,16,16,i4,./jpn_font_static/,
103,jpn_font_static,00003380,16,16,i4,./jpn_font_static/,
104,jpn_font_static,00003400,16,16,i4,./jpn_font_static/,
105,jpn_font_static,00003480,16,16,i4,./jpn_font_static/,
106,jpn_font_static,00003500,16,16,i4,./jpn_font_static/,
107,jpn_font_static,00003580,16,16,i4,./jpn_font_static/,
108,jpn_font_static,00003600,16,16,i4,./jpn_font_static/,
109,jpn_font_static,00003680,16,16,i4,./jpn_font_static/,
110,jpn_font_static,00003700,16,16,i4,./jpn_font_static/,
111,jpn_font_static,00003780,16,16,i4,./jpn_font_static/,
112,jpn_font_static,00003800,16,16,i4,./jpn_font_static/,
113,jpn_font_static,00003880,16,16,i4,./jpn_font_static/,
114,jpn_font_static,00003900,16,16,i4,./jpn_font_static/,
115,jpn_font_static,00003980,16,16,i4,./jpn_font_static/,
116,jpn_font_static,00003A00,16,16,i4,./jpn_font_static/,
117,jpn_font_static,00003A80,16,16,i4,./jpn_font_static/,
118,jpn_font_static,00003B00,16,16,i4,./jpn_font_static/,
119,jpn_font_static,00003B80,16,16,i4,./jpn_font_static/,
120,jpn_font_static,00003C00,16,16,i4,./jpn_font_static/,
121,jpn_font_static,00003C80,16,16,i4,./jpn_font_static/,
122,jpn_font_static,00003D00,16,16,i4,./jpn_font_static/,
123,jpn_font_static,00003D80,16,16,i4,./jpn_font_static/,
124,jpn_font_static,00003E00,16,16,i4,./jpn_font_static/,
125,jpn_font_static,00003E80,16,16,i4,./jpn_font_static/,
126,jpn_font_static,00003F00,16,16,i4,./jpn_font_static/,
127,jpn_font_static,00003F80,16,16,i4,./jpn_font_static/,
128,jpn_font_static,00004000,16,16,i4,./jpn_font_static/,
129,jpn_font_static,00004080,16,16,i4,./jpn_font_static/,
130,jpn_font_static,00004100,16,16,i4,./jpn_font_static/,
131,jpn_font_static,00004180,16,16,i4,./jpn_font_static/,
132,jpn_font_static,00004200,16,16,i4,./jpn_font_static/,
133,jpn_font_static,00004280,16,16,i4,./jpn_font_static/,
134,jpn_font_static,00004300,16,16,i4,./jpn_font_static/,
135,jpn_font_static,00004380,16,16,i4,./jpn_font_static/,
136,jpn_font_static,00004400,16,16,i4,./jpn_font_static/,
137,jpn_font_static,00004480,16,16,i4,./jpn_font_static/,
138,jpn_font_static,00004500,16,16,i4,./jpn_font_static/,
139,jpn_font_static,00004580,16,16,i4,./jpn_font_static/,
140,jpn_font_static,00004600,16,16,i4,./jpn_font_static/,
141,jpn_font_static,00004680,16,16,i4,./jpn_font_static/,
142,jpn_font_static,00004700,16,16,i4,./jpn_font_static/,
143,jpn_font_static,00004780,16,16,i4,./jpn_font_static/,
144,jpn_font_static,00004800,16,16,i4,./jpn_font_static/,
145,jpn_font_static,00004880,16,16,i4,./jpn_font_static/,
146,jpn_font_static,00004900,16,16,i4,./jpn_font_static/,
147,jpn_font_static,00004980,16,16,i4,./jpn_font_static/,
148,jpn_font_static,00004A00,16,16,i4,./jpn_font_static/,
149,jpn_font_static,00004A80,16,16,i4,./jpn_font_static/,
150,jpn_font_static,00004B00,16,16,i4,./jpn_font_static/,
151,jpn_font_static,00004B80,16,16,i4,./jpn_font_static/,
152,jpn_font_static,00004C00,16,16,i4,./jpn_font_static/,
153,jpn_font_static,00004C80,16,16,i4,./jpn_font_static/,
154,jpn_font_static,00004D00,16,16,i4,./jpn_font_static/,
155,jpn_font_static,00004D80,16,16,i4,./jpn_font_static/,
156,jpn_font_static,00004E00,16,16,i4,./jpn_font_static/,
157,jpn_font_static,00004E80,16,16,i4,./jpn_font_static/,
158,jpn_font_static,00004F00,16,16,i4,./jpn_font_static/,
159,jpn_font_static,00004F80,16,16,i4,./jpn_font_static/,
160,jpn_font_static,00005000,16,16,i4,./jpn_font_static/,
161,jpn_font_static,00005080,16,16,i4,./jpn_font_static/,
162,jpn_font_static,00005100,16,16,i4,./jpn_font_static/,
163,jpn_font_static,00005180,16,16,i4,./jpn_font_static/,
164,jpn_font_static,00005200,16,16,i4,./jpn_font_static/,
165,jpn_font_static,00005280,16,16,i4,./jpn_font_static/,
166,jpn_font_static,00005300,16,16,i4,./jpn_font_static/,
167,jpn_font_static,00005380,16,16,i4,./jpn_font_static/,
168,jpn_font_static,00005400,16,16,i4,./jpn_font_static/,
169,jpn_font_static,00005480,16,16,i4,./jpn_font_static/,
170,jpn_font_static,00005500,16,16,i4,./jpn_font_static/,
171,jpn_font_static,00005580,16,16,i4,./jpn_font_static/,
172,jpn_font_static,00005600,16,16,i4,./jpn_font_static/,
173,jpn_font_static,00005680,16,16,i4,./jpn_font_static/,
174,jpn_font_static,00005700,16,16,i4,./jpn_font_static/,
175,jpn_font_static,00005780,16,16,i4,./jpn_font_static/,
176,jpn_font_static,00005800,16,16,i4,./jpn_font_static/,
177,jpn_font_static,00005880,16,16,i4,./jpn_font_static/,
178,jpn_font_static,00005900,16,16,i4,./jpn_font_static/,
179,jpn_font_static,00005980,16,16,i4,./jpn_font_static/,
180,jpn_font_static,00005A00,16,16,i4,./jpn_font_static/,
181,jpn_font_static,00005A80,16,16,i4,./jpn_font_static/,
182,jpn_font_static,00005B00,16,16,i4,./jpn_font_static/,
183,jpn_font_static,00005B80,16,16,i4,./jpn_font_static/,
184,jpn_font_static,00005C00,16,16,i4,./jpn_font_static/,
185,jpn_font_static,00005C80,16,16,i4,./jpn_font_static/,
186,jpn_font_static,00005D00,16,16,i4,./jpn_font_static/,
187,jpn_font_static,00005D80,16,16,i4,./jpn_font_static/,
188,jpn_font_static,00005E00,16,16,i4,./jpn_font_static/,
189,jpn_font_static,00005E80,16,16,i4,./jpn_font_static/,
190,jpn_font_static,00005F00,16,16,i4,./jpn_font_static/,
191,jpn_font_static,00005F80,16,16,i4,./jpn_font_static/,
192,jpn_font_static,00006000,16,16,i4,./jpn_font_static/,
193,jpn_font_static,00006080,16,16,i4,./jpn_font_static/,
194,jpn_font_static,00006100,16,16,i4,./jpn_font_static/,
195,jpn_font_static,00006180,16,16,i4,./jpn_font_static/,
196,jpn_font_static,00006200,16,16,i4,./jpn_font_static/,
197,jpn_font_static,00006280,16,16,i4,./jpn_font_static/,
198,jpn_font_static,00006300,16,16,i4,./jpn_font_static/,
199,jpn_font_static,00006380,16,16,i4,./jpn_font_static/,
200,jpn_font_static,00006400,16,16,i4,./jpn_font_static/,
201,jpn_font_static,00006480,16,16,i4,./jpn_font_static/,
202,jpn_font_static,00006500,16,16,i4,./jpn_font_static/,
203,jpn_font_static,00006580,16,16,i4,./jpn_font_static/,
204,jpn_font_static,00006600,16,16,i4,./jpn_font_static/,
205,jpn_font_static,00006680,16,16,i4,./jpn_font_static/,
206,jpn_font_static,00006700,16,16,i4,./jpn_font_static/,
207,jpn_font_static,00006780,16,16,i4,./jpn_font_static/,
208,jpn_font_static,00006800,16,16,i4,./jpn_font_static/,
209,jpn_font_static,00006880,16,16,i4,./jpn_font_static/,
210,jpn_font_static,00006900,16,16,i4,./jpn_font_static/,
211,jpn_font_static,00006980,16,16,i4,./jpn_font_static/,
212,jpn_font_static,00006A00,16,16,i4,./jpn_font_static/,
213,jpn_font_static,00006A80,16,16,i4,./jpn_font_static/,
214,jpn_font_static,00006B00,16,16,i4,./jpn_font_static/,
215,jpn_font_static,00006B80,16,16,i4,./jpn_font_static/,
216,jpn_font_static,00006C00,16,16,i4,./jpn_font_static/,
217,jpn_font_static,00006C80,16,16,i4,./jpn_font_static/,
218,jpn_font_static,00006D00,16,16,i4,./jpn_font_static/,
219,jpn_font_static,00006D80,16,16,i4,./jpn_font_static/,
220,jpn_font_static,00006E00,16,16,i4,./jpn_font_static/,
221,jpn_font_static,00006E80,16,16,i4,./jpn_font_static/,
222,jpn_font_static,00006F00,16,16,i4,./jpn_font_static/,
223,jpn_font_static,00006F80,16,16,i4,./jpn_font_static/,
224,jpn_font_static,00007000,16,16,i4,./jpn_font_static/,
225,jpn_font_static,00007080,16,16,i4,./jpn_font_static/,
226,jpn_font_static,00007100,16,16,i4,./jpn_font_static/,
227,jpn_font_static,00007180,16,16,i4,./jpn_font_static/,
228,jpn_font_static,00007200,16,16,i4,./jpn_font_static/,
229,jpn_font_static,00007280,16,16,i4,./jpn_font_static/,
230,jpn_font_static,00007300,16,16,i4,./jpn_font_static/,
231,jpn_font_static,00007380,16,16,i4,./jpn_font_static/,
232,jpn_font_static,00007400,16,16,i4,./jpn_font_static/,
233,jpn_font_static,00007480,16,16,i4,./jpn_font_static/,
234,jpn_font_static,00007500,16,16,i4,./jpn_font_static/,
235,jpn_font_static,00007580,16,16,i4,./jpn_font_static/,
236,jpn_font_static,00007600,16,16,i4,./jpn_font_static/,
237,jpn_font_static,00007680,16,16,i4,./jpn_font_static/,
238,jpn_font_static,00007700,16,16,i4,./jpn_font_static/,
239,jpn_font_static,00007780,16,16,i4,./jpn_font_static/,
240,jpn_font_static,00007800,16,16,i4,./jpn_font_static/,
241,jpn_font_static,00007880,16,16,i4,./jpn_font_static/,
242,jpn_font_static,00007900,16,16,i4,./jpn_font_static/,
243,jpn_font_static,00007980,16,16,i4,./jpn_font_static/,
244,jpn_font_static,00007A00,16,16,i4,./jpn_font_static/,
245,jpn_font_static,00007A80,16,16,i4,./jpn_font_static/,
246,jpn_font_static,00007B00,16,16,i4,./jpn_font_static/,
247,jpn_font_static,00007B80,16,16,i4,./jpn_font_static/,
248,jpn_font_static,00007C00,16,16,i4,./jpn_font_static/,
249,jpn_font_static,00007C80,16,16,i4,./jpn_font_static/,
250,jpn_font_static,00007D00,16,16,i4,./jpn_font_static/,
251,jpn_font_static,00007D80,16,16,i4,./jpn_font_static/,
252,jpn_font_static,00007E00,16,16,i4,./jpn_font_static/,
253,jpn_font_static,00007E80,16,16,i4,./jpn_font_static/,
254,jpn_font_static,00007F00,16,16,i4,./jpn_font_static/,
255,jpn_font_static,00007F80,16,16,i4,./jpn_font_static/,
256,jpn_font_static,00008000,16,16,i4,./jpn_font_static/,
257,jpn_font_static,00008080,16,16,i4,./jpn_font_static/,
258,jpn_font_static,00008100,16,16,i4,./jpn_font_static/,
259,jpn_font_static,00008180,16,16,i4,./jpn_font_static/,
260,jpn_font_static,00008200,16,16,i4,./jpn_font_static/,
261,jpn_font_static,00008280,16,16,i4,./jpn_font_static/,
262,jpn_font_static,00008300,16,16,i4,./jpn_font_static/,
263,jpn_font_static,00008380,16,16,i4,./jpn_font_static/,
264,jpn_font_static,00008400,16,16,i4,./jpn_font_static/,
265,jpn_font_static,00008480,16,16,i4,./jpn_font_static/,
266,jpn_font_static,00008500,16,16,i4,./jpn_font_static/,
267,jpn_font_static,00008580,16,16,i4,./jpn_font_static/,
268,jpn_font_static,00008600,16,16,i4,./jpn_font_static/,
269,jpn_font_static,00008680,16,16,i4,./jpn_font_static/,
270,jpn_font_static,00008700,16,16,i4,./jpn_font_static/,
271,jpn_font_static,00008780,16,16,i4,./jpn_font_static/,
272,jpn_font_static,00008800,16,16,i4,./jpn_font_static/,
273,jpn_font_static,00008880,16,16,i4,./jpn_font_static/,
274,jpn_font_static,00008900,16,16,i4,./jpn_font_static/,
275,jpn_font_static,00008980,16,16,i4,./jpn_font_static/,
276,jpn_font_static,00008A00,16,16,i4,./jpn_font_static/,
277,jpn_font_static,00008A80,16,16,i4,./jpn_font_static/,
278,jpn_font_static,00008B00,16,16,i4,./jpn_font_static/,
279,jpn_font_static,00008B80,16,16,i4,./jpn_font_static/,
280,jpn_font_static,00008C00,16,16,i4,./jpn_font_static/,
281,jpn_font_static,00008C80,16,16,i4,./jpn_font_static/,
282,jpn_font_static,00008D00,16,16,i4,./jpn_font_static/,
283,jpn_font_static,00008D80,16,16,i4,./jpn_font_static/,
284,jpn_font_static,00008E00,16,16,i4,./jpn_font_static/,
285,jpn_font_static,00008E80,16,16,i4,./jpn_font_static/,
286,jpn_font_static,00008F00,16,16,i4,./jpn_font_static/,
287,jpn_font_static,00008F80,16,16,i4,./jpn_font_static/,
288,jpn_font_static,00009000,16,16,i4,./jpn_font_static/,
289,jpn_font_static,00009080,16,16,i4,./jpn_font_static/,
290,jpn_font_static,00009100,16,16,i4,./jpn_font_static/,
291,jpn_font_static,00009180,16,16,i4,./jpn_font_static/,
292,jpn_font_static,00009200,16,16,i4,./jpn_font_static/,
293,jpn_font_static,00009280,16,16,i4,./jpn_font_static/,
294,jpn_font_static,00009300,16,16,i4,./jpn_font_static/,
295,jpn_font_static,00009380,16,16,i4,./jpn_font_static/,
296,jpn_font_static,00009400,16,16,i4,./jpn_font_static/,
297,jpn_font_static,00009480,16,16,i4,./jpn_font_static/,
298,jpn_font_static,00009500,16,16,i4,./jpn_font_static/,
299,jpn_font_static,00009580,16,16,i4,./jpn_font_static/,
300,jpn_font_static,00009600,16,16,i4,./jpn_font_static/,
301,jpn_font_static,00009680,16,16,i4,./jpn_font_static/,
302,jpn_font_static,00009700,16,16,i4,./jpn_font_static/,
303,jpn_font_static,00009780,16,16,i4,./jpn_font_static/,
304,jpn_font_static,00009800,16,16,i4,./jpn_font_static/,
305,jpn_font_static,00009880,16,16,i4,./jpn_font_static/,
306,jpn_font_static,00009900,16,16,i4,./jpn_font_static/,
307,jpn_font_static,00009980,16,16,i4,./jpn_font_static/,
308,jpn_font_static,00009A00,16,16,i4,./jpn_font_static/,
309,jpn_font_static,00009A80,16,16,i4,./jpn_font_static/,
310,jpn_font_static,00009B00,16,16,i4,./jpn_font_static/,
311,jpn_font_static,00009B80,16,16,i4,./jpn_font_static/,
312,jpn_font_static,00009C00,16,16,i4,./jpn_font_static/,
313,jpn_font_static,00009C80,16,16,i4,./jpn_font_static/,
314,jpn_font_static,00009D00,16,16,i4,./jpn_font_static/,
315,jpn_font_static,00009D80,16,16,i4,./jpn_font_static/,
316,jpn_font_static,00009E00,16,16,i4,./jpn_font_static/,
317,jpn_font_static,00009E80,16,16,i4,./jpn_font_static/,
318,jpn_font_static,00009F00,16,16,i4,./jpn_font_static/,
319,jpn_font_static,00009F80,16,16,i4,./jpn_font_static/,
320,jpn_font_static,0000A000,16,16,i4,./jpn_font_static/,
321,jpn_font_static,0000A080,16,16,i4,./jpn_font_static/,
322,jpn_font_static,0000A100,16,16,i4,./jpn_font_static/,
323,jpn_font_static,0000A180,16,16,i4,./jpn_font_static/,
324,jpn_font_static,0000A200,16,16,i4,./jpn_font_static/,
325,jpn_font_static,0000A280,16,16,i4,./jpn_font_static/,
326,jpn_font_static,0000A300,16,16,i4,./jpn_font_static/,
327,jpn_font_static,0000A380,16,16,i4,./jpn_font_static/,
328,jpn_font_static,0000A400,16,16,i4,./jpn_font_static/,
329,jpn_font_static,0000A480,16,16,i4,./jpn_font_static/,
330,jpn_font_static,0000A500,16,16,i4,./jpn_font_static/,
331,jpn_font_static,0000A580,16,16,i4,./jpn_font_static/,
332,jpn_font_static,0000A600,16,16,i4,./jpn_font_static/,
333,jpn_font_static,0000A680,16,16,i4,./jpn_font_static/,
334,jpn_font_static,0000A700,16,16,i4,./jpn_font_static/,
335,jpn_font_static,0000A780,16,16,i4,./jpn_font_static/,
336,jpn_font_static,0000A800,16,16,i4,./jpn_font_static/,
337,jpn_font_static,0000A880,16,16,i4,./jpn_font_static/,
338,jpn_font_static,0000A900,16,16,i4,./jpn_font_static/,
339,jpn_font_static,0000A980,16,16,i4,./jpn_font_static/,
340,jpn_font_static,0000AA00,16,16,i4,./jpn_font_static/,
341,jpn_font_static,0000AA80,16,16,i4,./jpn_font_static/,
342,jpn_font_static,0000AB00,16,16,i4,./jpn_font_static/,
343,jpn_font_static,0000AB80,16,16,i4,./jpn_font_static/,
344,jpn_font_static,0000AC00,16,16,i4,./jpn_font_static/,
345,jpn_font_static,0000AC80,16,16,i4,./jpn_font_static/,
346,jpn_font_static,0000AD00,16,16,i4,./jpn_font_static/,
347,jpn_font_static,0000AD80,16,16,i4,./jpn_font_static/,
348,jpn_font_static,0000AE00,16,16,i4,./jpn_font_static/,
349,jpn_font_static,0000AE80,16,16,i4,./jpn_font_static/,
350,jpn_font_static,0000AF00,16,16,i4,./jpn_font_static/,
351,jpn_font_static,0000AF80,16,16,i4,./jpn_font_static/,
352,jpn_font_static,0000B000,16,16,i4,./jpn_font_static/,
353,jpn_font_static,0000B080,16,16,i4,./jpn_font_static/,
354,jpn_font_static,0000B100,16,16,i4,./jpn_font_static/,
355,jpn_font_static,0000B180,16,16,i4,./jpn_font_static/,
356,jpn_font_static,0000B200,16,16,i4,./jpn_font_static/,
357,jpn_font_static,0000B280,16,16,i4,./jpn_font_static/,
358,jpn_font_static,0000B300,16,16,i4,./jpn_font_static/,
359,jpn_font_static,0000B380,16,16,i4,./jpn_font_static/,
360,jpn_font_static,0000B400,16,16,i4,./jpn_font_static/,
361,jpn_font_static,0000B480,16,16,i4,./jpn_font_static/,
362,jpn_font_static,0000B500,16,16,i4,./jpn_font_static/,
363,jpn_font_static,0000B580,16,16,i4,./jpn_font_static/,
364,jpn_font_static,0000B600,16,16,i4,./jpn_font_static/,
365,jpn_font_static,0000B680,16,16,i4,./jpn_font_static/,
366,jpn_font_static,0000B700,16,16,i4,./jpn_font_static/,
367,jpn_font_static,0000B780,16,16,i4,./jpn_font_static/,
368,jpn_font_static,0000B800,16,16,i4,./jpn_font_static/,
369,jpn_font_static,0000B880,16,16,i4,./jpn_font_static/,
370,jpn_font_static,0000B900,16,16,i4,./jpn_font_static/,
371,jpn_font_static,0000B980,16,16,i4,./jpn_font_static/,
372,jpn_font_static,0000BA00,16,16,i4,./jpn_font_static/,
373,jpn_font_static,0000BA80,16,16,i4,./jpn_font_static/,
374,jpn_font_static,0000BB00,16,16,i4,./jpn_font_static/,
375,jpn_font_static,0000BB80,16,16,i4,./jpn_font_static/,
376,jpn_font_static,0000BC00,16,16,i4,./jpn_font_static/,
377,jpn_font_static,0000BC80,16,16,i4,./jpn_font_static/,
378,jpn_font_static,0000BD00,16,16,i4,./jpn_font_static/,
379,jpn_font_static,0000BD80,16,16,i4,./jpn_font_static/,
380,jpn_font_static,0000BE00,16,16,i4,./jpn_font_static/,
381,jpn_font_static,0000BE80,16,16,i4,./jpn_font_static/,
382,jpn_font_static,0000BF00,16,16,i4,./jpn_font_static/,
383,jpn_font_static,0000BF80,16,16,i4,./jpn_font_static/,
384,jpn_font_static,0000C000,16,16,i4,./jpn_font_static/,
385,jpn_font_static,0000C080,16,16,i4,./jpn_font_static/,
386,jpn_font_static,0000C100,16,16,i4,./jpn_font_static/,
387,jpn_font_static,0000C180,16,16,i4,./jpn_font_static/,
388,jpn_font_static,0000C200,16,16,i4,./jpn_font_static/,
389,jpn_font_static,0000C280,16,16,i4,./jpn_font_static/,
390,jpn_font_static,0000C300,16,16,i4,./jpn_font_static/,
391,jpn_font_static,0000C380,16,16,i4,./jpn_font_static/,
392,jpn_font_static,0000C400,16,16,i4,./jpn_font_static/,
393,jpn_font_static,0000C480,16,16,i4,./jpn_font_static/,
394,jpn_font_static,0000C500,16,16,i4,./jpn_font_static/,
395,jpn_font_static,0000C580,16,16,i4,./jpn_font_static/,
396,jpn_font_static,0000C600,16,16,i4,./jpn_font_static/,
397,jpn_font_static,0000C680,16,16,i4,./jpn_font_static/,
398,jpn_font_static,0000C700,16,16,i4,./jpn_font_static/,
399,jpn_font_static,0000C780,16,16,i4,./jpn_font_static/,
400,jpn_font_static,0000C800,16,16,i4,./jpn_font_static/,
401,jpn_font_static,0000C880,16,16,i4,./jpn_font_static/,
402,jpn_font_static,0000C900,16,16,i4,./jpn_font_static/,
403,jpn_font_static,0000C980,16,16,i4,./jpn_font_static/,
404,jpn_font_static,0000CA00,16,16,i4,./jpn_font_static/,
405,jpn_font_static,0000CA80,16,16,i4,./jpn_font_static/,
406,jpn_font_static,0000CB00,16,16,i4,./jpn_font_static/,
407,jpn_font_static,0000CB80,16,16,i4,./jpn_font_static/,
408,jpn_font_static,0000CC00,16,16,i4,./jpn_font_static/,
409,jpn_font_static,0000CC80,16,16,i4,./jpn_font_static/,
410,jpn_font_static,0000CD00,16,16,i4,./jpn_font_static/,
411,jpn_font_static,0000CD80,16,16,i4,./jpn_font_static/,
412,jpn_font_static,0000CE00,16,16,i4,./jpn_font_static/,
413,jpn_font_static,0000CE80,16,16,i4,./jpn_font_static/,
414,jpn_font_static,0000CF00,16,16,i4,./jpn_font_static/,
415,jpn_font_static,0000CF80,16,16,i4,./jpn_font_static/,
416,jpn_font_static,0000D000,16,16,i4,./jpn_font_static/,
417,jpn_font_static,0000D080,16,16,i4,./jpn_font_static/,
418,jpn_font_static,0000D100,16,16,i4,./jpn_font_static/,
419,jpn_font_static,0000D180,16,16,i4,./jpn_font_static/,
420,jpn_font_static,0000D200,16,16,i4,./jpn_font_static/,
421,jpn_font_static,0000D280,16,16,i4,./jpn_font_static/,
422,jpn_font_static,0000D300,16,16,i4,./jpn_font_static/,
423,jpn_font_static,0000D380,16,16,i4,./jpn_font_static/,
424,jpn_font_static,0000D400,16,16,i4,./jpn_font_static/,
425,jpn_font_static,0000D480,16,16,i4,./jpn_font_static/,
426,jpn_font_static,0000D500,16,16,i4,./jpn_font_static/,
