Name,File,Offset,Width,Height,Format,Extracted Path,Comments
0,jpn_font_static,00000000,16,16,i4,./jpn_font_static/,TODO name all of theseÅc
1,jpn_font_static,00000080,16,16,i4,./jpn_font_static/,
2,jpn_font_static,00000100,16,16,i4,./jpn_font_static/,
3,jpn_font_static,00000180,16,16,i4,./jpn_font_static/,
4,jpn_font_static,00000200,16,16,i4,./jpn_font_static/,
5,jpn_font_static,00000280,16,16,i4,./jpn_font_static/,
6,jpn_font_static,00000300,16,16,i4,./jpn_font_static/,
7,jpn_font_static,00000380,16,16,i4,./jpn_font_static/,
8,jpn_font_static,00000400,16,16,i4,./jpn_font_static/,
9,jpn_font_static,00000480,16,16,i4,./jpn_font_static/,
10,jpn_font_static,00000500,16,16,i4,./jpn_font_static/,
11,jpn_font_static,00000580,16,16,i4,./jpn_font_static/,
12,jpn_font_static,00000600,16,16,i4,./jpn_font_static/,
13,jpn_font_static,00000680,16,16,i4,./jpn_font_static/,
14,jpn_font_static,00000700,16,16,i4,./jpn_font_static/,
15,jpn_font_static,00000780,16,16,i4,./jpn_font_static/,
16,jpn_font_static,00000800,16,16,i4,./jpn_font_static/,
17,jpn_font_static,00000880,16,16,i4,./jpn_font_static/,
18,jpn_font_static,00000900,16,16,i4,./jpn_font_static/,
19,jpn_font_static,00000980,16,16,i4,./jpn_font_static/,
20,jpn_font_static,00000A00,16,16,i4,./jpn_font_static/,
21,jpn_font_static,00000A80,16,16,i4,./jpn_font_static/,
22,jpn_font_static,00000B00,16,16,i4,./jpn_font_static/,
23,jpn_font_static,00000B80,16,16,i4,./jpn_font_static/,
24,jpn_font_static,00000C00,16,16,i4,./jpn_font_static/,
25,jpn_font_static,00000C80,16,16,i4,./jpn_font_static/,
26,jpn_font_static,00000D00,16,16,i4,./jpn_font_static/,
27,jpn_font_static,00000D80,16,16,i4,./jpn_font_static/,
28,jpn_font_static,00000E00,16,16,i4,./jpn_font_static/,
29,jpn_font_static,00000E80,16,16,i4,./jpn_font_static/,
30,jpn_font_static,00000F00,16,16,i4,./jpn_font_static/,
31,jpn_font_static,00000F80,16,16,i4,./jpn_font_static/,
32,jpn_font_static,00001000,16,16,i4,./jpn_font_static/,
33,jpn_font_static,00001080,16,16,i4,./jpn_font_static/,
34,jpn_font_static,00001100,16,16,i4,./jpn_font_static/,
35,jpn_font_static,00001180,16,16,i4,./jpn_font_static/,
36,jpn_font_static,00001200,16,16,i4,./jpn_font_static/,
37,jpn_font_static,00001280,16,16,i4,./jpn_font_static/,
38,jpn_font_static,00001300,16,16,i4,./jpn_font_static/,
39,jpn_font_static,00001380,16,16,i4,./jpn_font_static/,
40,jpn_font_static,00001400,16,16,i4,./jpn_font_static/,
41,jpn_font_static,00001480,16,16,i4,./jpn_font_static/,
42,jpn_font_static,00001500,16,16,i4,./jpn_font_static/,
43,jpn_font_static,00001580,16,16,i4,./jpn_font_static/,
44,jpn_font_static,00001600,16,16,i4,./jpn_font_static/,
45,jpn_font_static,00001680,16,16,i4,./jpn_font_static/,
46,jpn_font_static,00001700,16,16,i4,./jpn_font_static/,
47,jpn_font_static,00001780,16,16,i4,./jpn_font_static/,
48,jpn_font_static,00001800,16,16,i4,./jpn_font_static/,
49,jpn_font_static,00001880,16,16,i4,./jpn_font_static/,
50,jpn_font_static,00001900,16,16,i4,./jpn_font_static/,
51,jpn_font_static,00001980,16,16,i4,./jpn_font_static/,
52,jpn_font_static,00001A00,16,16,i4,./jpn_font_static/,
53,jpn_font_static,00001A80,16,16,i4,./jpn_font_static/,
54,jpn_font_static,00001B00,16,16,i4,./jpn_font_static/,
55,jpn_font_static,00001B80,16,16,i4,./jpn_font_static/,
56,jpn_font_static,00001C00,16,16,i4,./jpn_font_static/,
57,jpn_font_static,00001C80,16,16,i4,./jpn_font_static/,
58,jpn_font_static,00001D00,16,16,i4,./jpn_font_static/,
59,jpn_font_static,00001D80,16,16,i4,./jpn_font_static/,
60,jpn_font_static,00001E00,16,16,i4,./jpn_font_static/,
61,jpn_font_static,00001E80,16,16,i4,./jpn_font_static/,
62,jpn_font_static,00001F00,16,16,i4,./jpn_font_static/,
63,jpn_font_static,00001F80,16,16,i4,./jpn_font_static/,
64,jpn_font_static,00002000,16,16,i4,./jpn_font_static/,
65,jpn_font_static,00002080,16,16,i4,./jpn_font_static/,
66,jpn_font_static,00002100,16,16,i4,./jpn_font_static/,
67,jpn_font_static,00002180,16,16,i4,./jpn_font_static/,
68,jpn_font_static,00002200,16,16,i4,./jpn_font_static/,
69,jpn_font_static,00002280,16,16,i4,./jpn_font_static/,
70,jpn_font_static,00002300,16,16,i4,./jpn_font_static/,
71,jpn_font_static,00002380,16,16,i4,./jpn_font_static/,
72,jpn_font_static,00002400,16,16,i4,./jpn_font_static/,
73,jpn_font_static,00002480,16,16,i4,./jpn_font_static/,
74,jpn_font_static,00002500,16,16,i4,./jpn_font_static/,
75,jpn_font_static,00002580,16,16,i4,./jpn_font_static/,
76,jpn_font_static,00002600,16,16,i4,./jpn_font_static/,
77,jpn_font_static,00002680,16,16,i4,./jpn_font_static/,
78,jpn_font_static,00002700,16,16,i4,./jpn_font_static/,
79,jpn_font_static,00002780,16,16,i4,./jpn_font_static/,
80,jpn_font_static,00002800,16,16,i4,./jpn_font_static/,
81,jpn_font_static,00002880,16,16,i4,./jpn_font_static/,
82,jpn_font_static,00002900,16,16,i4,./jpn_font_static/,
83,jpn_font_static,00002980,16,16,i4,./jpn_font_static/,
84,jpn_font_static,00002A00,16,16,i4,./jpn_font_static/,
85,jpn_font_static,00002A80,16,16,i4,./jpn_font_static/,
86,jpn_font_static,00002B00,16,16,i4,./jpn_font_static/,
87,jpn_font_static,00002B80,16,16,i4,./jpn_font_static/,
88,jpn_font_static,00002C00,16,16,i4,./jpn_font_static/,
89,jpn_font_static,00002C80,16,16,i4,./jpn_font_static/,
90,jpn_font_static,00002D00,16,16,i4,./jpn_font_static/,
91,jpn_font_static,00002D80,16,16,i4,./jpn_font_static/,
